frame_processed,x,y,z
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,-0.000000,0.000001,-0.000006
7,-0.000001,0.000001,-0.000008
8,-0.000001,0.000002,-0.000009
9,-0.000001,0.000002,-0.000009
10,-0.000001,0.000002,-0.000009
11,-0.000001,0.000002,-0.000009
12,-0.000001,0.000002,-0.000009
13,-0.000001,0.000002,-0.000009
14,-0.000001,0.000002,-0.000009
15,-0.000001,0.000002,-0.000009
16,0.000004,0.000009,-0.000126
17,-0.001120,0.021780,0.008935
18,-0.001610,0.030521,0.012422
19,-0.003373,0.040527,-0.003419
20,-0.004022,0.044523,-0.009937
21,-0.004355,0.046088,-0.012252
22,-0.004487,0.046714,-0.013178
23,-0.004541,0.046965,-0.013548
24,-0.010578,0.053424,0.000982
25,-0.012994,0.056007,0.006795
26,-0.013711,0.057075,0.008392
27,-0.013999,0.057502,0.009031
28,-0.014113,0.057673,0.009287
29,-0.014159,0.057741,0.009389
30,-0.014178,0.057768,0.009430
31,-0.014185,0.057779,0.009447
32,-0.014188,0.057784,0.009453
33,-0.014189,0.057785,0.009456
34,-0.014190,0.057786,0.009457
35,-0.018741,0.059353,0.009332
36,-0.020561,0.059980,0.009281
37,-0.021289,0.060231,0.009261
38,-0.021580,0.060331,0.009252
39,-0.021696,0.060371,0.009248
40,-0.021366,0.060349,0.007758
41,-0.021235,0.060340,0.007162
42,-0.021182,0.060337,0.006924
43,-0.021161,0.060335,0.006828
44,-0.057139,0.063005,0.089239
45,-0.071530,0.064072,0.122204
46,-0.077486,0.064385,0.135993
47,-0.080028,0.064507,0.142166
48,-0.080917,0.064630,0.144335
49,-0.081273,0.064679,0.145203
50,-0.081415,0.064699,0.145550
51,-0.081472,0.064707,0.145689
52,-0.081706,0.064680,0.146322
53,-0.081800,0.064670,0.146576
54,-0.083567,0.063628,0.149714
55,-0.084274,0.063211,0.150969
56,-0.084865,0.062240,0.151438
57,-0.085092,0.061848,0.151608
58,-0.085183,0.061691,0.151677
59,-0.085220,0.061629,0.151704
60,-0.085611,0.061336,0.152826
61,-0.115377,0.083583,0.235269
62,-0.127283,0.092482,0.268246
63,-0.132046,0.096042,0.281437
64,-0.133951,0.097466,0.286713
65,-0.134713,0.098035,0.288824
66,-0.135017,0.098263,0.289668
67,-0.135793,0.098544,0.292989
68,-0.136476,0.098238,0.297505
